dataset,conversation_id,turn_id,video_id,level,level_label,speaker_role,turn_text,n_utterances_in_turn,turn_order,turn_embedding_idx,episode_id
wired,wired_Talia_13,7,talia,1,teenager,expert,me too,1,6,20,0
wired,wired_Talia_13,8,talia,1,teenager,partner,yeah always when i'm trying to take a photo,1,7,21,0
wired,wired_Talia_13,9,talia,1,teenager,expert,so did you know that there's certain kinds of problems that computers sort of run out of space almost like you're trying to solve the problem and just like how you run out of space on your iphone when you're trying to take a picture if you're trying to solve the problem you just run out of space and even if you have the world's biggest supercomputer did you know that can still happen,3,8,22,0
wired,wired_Talia_13,10,talia,1,teenager,partner,wow,1,9,23,0
wired,wired_Talia_13,11,talia,1,teenager,expert,so my team is working on building new kinds of computers all together ones that operate by totally different set of rules so do you know what that is,2,10,24,0
wired,wired_Talia_13,12,talia,1,teenager,partner,i have no clue,1,11,25,0
wired,wired_Talia_13,13,talia,1,teenager,expert,it's a quantum computer,1,12,26,0
wired,wired_Talia_13,14,talia,1,teenager,partner,a what,1,13,27,0
wired,wired_Talia_13,15,talia,1,teenager,expert,you ever heard of a quantum computer,1,14,28,0
wired,wired_Talia_13,16,talia,1,teenager,partner,i haven't,1,15,29,0
wired,wired_Talia_13,17,talia,1,teenager,expert,have you ever heard of the word quantum,1,16,30,0
wired,wired_Talia_13,18,talia,1,teenager,partner,no,1,17,31,0
wired,wired_Talia_13,19,talia,1,teenager,expert,okay so quantum mechanics is a branch of science just like any other branch of science it's a branch of physics it's the study of things that are either really really small really really well isolated and really really cold and this particular branch of science is something we're using to totally reimagine how computing works so we're building totally new kinds of computers based on the laws of quantum mechanics that's what a quantum computer is,5,18,32,0
wired,wired_Talia_13,20,talia,1,teenager,partner,huh,1,19,33,0
wired,wired_Talia_13,21,talia,1,teenager,expert,i'm going to start by telling you about something called superposition so i'm going to explain it using this giant penny,1,20,34,0
wired,wired_Talia_13,22,talia,1,teenager,partner,wow is that like worth 100 pennies,1,21,35,0
wired,wired_Talia_13,23,talia,1,teenager,expert,i don't know what it's worth but uh i can put it face up right in that heads i can put it face down right so at any given time point in time if i ask you is my penny heads or tails probably you could answer it right,2,22,36,0
wired,wired_Talia_13,24,talia,1,teenager,partner,yeah,1,23,37,0
wired,wired_Talia_13,25,talia,1,teenager,expert,okay but what if i spin the penny,1,24,38,0
wired,wired_Talia_13,26,talia,1,teenager,partner,hmm,1,25,39,0
wired,wired_Talia_13,27,talia,1,teenager,expert,so let's do it okay so while it's spinning is it heads or tails,1,26,40,0
wired,wired_Talia_13,28,talia,1,teenager,partner,head,1,27,41,0
wired,wired_Talia_13,29,talia,1,teenager,expert,while it's spinning,1,28,42,0
wired,wired_Talia_13,30,talia,1,teenager,partner,oh it i would know it's sort of,1,29,43,0
wired,wired_Talia_13,31,talia,1,teenager,expert,it's sort of a combination of heads and tails right would you say so superposition is this idea that my penny is not just either heads or tails it's in this state which is a combination of heads and tails this quantum property is something that we can have in real real physical objects in the world so that's super position and the second thing that we'll talk about is called entanglement so now i'm going to give you a penny wow when we use the word entangled in everyday language what do we mean,5,30,44,0
wired,wired_Talia_13,32,talia,1,teenager,partner,that something's intertwined or,1,31,45,0
wired,wired_Talia_13,33,talia,1,teenager,expert,exactly that there's two things that are connected in some way and usually we can separate them again yeah your hair is tangled or whatever you can you can untangle it right,2,32,46,0
wired,wired_Talia_13,34,talia,1,teenager,partner,yeah,1,33,47,0
wired,wired_Talia_13,35,talia,1,teenager,expert,but in the quantum world when we entangle things they're really now connected it's much much harder to separate them again so using the same analogy we spin our pennies and eventually eventually they both stop right and when they stop it's either heads or tails right so in my case i got tails and you got heads you see how they're totally disconnected from each other right our pennies in the real world now if our pennies were entangled and we both spun them together right when we stopped them if you measured your penny to be ahead i would measure my penny to be ahead and if you measured your penny to be a tails i would measure my opinion to be a tails if we measured it at exactly the same time we would still find that they were both exactly correlated,6,34,48,0
wired,wired_Talia_13,36,talia,1,teenager,partner,that's crazy that's so cool right oh my god,1,35,49,0
wired,wired_Talia_13,37,talia,1,teenager,expert,the way that we are able to actually see these quantum properties is by making our quantum chips really really cold so that's what this is all about actually this is called a dilution refrigerator and it's a refrigerator it doesn't look like a normal refrigerator right but it's something that we use actually there's usually a case around it to cool our quantum chips down cold enough that we can create superpositions and we can entangle qubits and the information isn't lost to the environment,2,36,50,0
wired,wired_Talia_13,38,talia,1,teenager,partner,like what could those chips be used to do,1,37,51,0
wired,wired_Talia_13,39,talia,1,teenager,expert,so one of the things that we're trying to use quantum computers to do is simulating chemical bonding use a quantum system to model a quantum system,2,38,52,0
wired,wired_Talia_13,40,talia,1,teenager,partner,yeah i mean i'm definitely going to impress all my friends when i tell them about this they're going to be like quantum what,1,39,53,0
wired,wired_Talia_14,1,talia,2,undergraduate,expert,so what do you think that thing is,1,0,54,0
wired,wired_Talia_14,2,talia,2,undergraduate,partner,is it some sort of conjecture circuit,1,1,55,0
wired,wired_Talia_14,3,talia,2,undergraduate,expert,that is a really good guess there's parts of that that are definitely about conducting this is the inside of a quantum computer,1,2,56,0
wired,wired_Talia_14,4,talia,2,undergraduate,partner,oh wow,1,3,57,0
wired,wired_Talia_14,5,talia,2,undergraduate,expert,yeah this whole infrastructure is all about creating levels that get progressively colder as you go from top to bottom down to the quantum chip which is how we actually control the state of the quibits,1,4,58,0
wired,wired_Talia_14,6,talia,2,undergraduate,partner,oh wow so when you say cold or you mean like physically colder,1,5,59,0
wired,wired_Talia_14,7,talia,2,undergraduate,expert,yeah like physically colder so room temperature is 300 kelvin as you get down all the way to the bottom of the fridge it's at 10 milli kelvin,1,6,60,0
wired,wired_Talia_14,8,talia,2,undergraduate,partner,oh wow,1,7,61,1
wired,wired_Talia_14,9,talia,2,undergraduate,expert,yeah amanda what do you study,1,8,62,1
wired,wired_Talia_14,10,talia,2,undergraduate,partner,so i'm studying computer science currently a sophomore and the track that i'm in is the intelligent systems track machine learning artificial intelligence,1,9,63,1
wired,wired_Talia_14,11,talia,2,undergraduate,expert,you ever heard of quantum computing,1,10,64,1
wired,wired_Talia_14,12,talia,2,undergraduate,partner,from my understanding with a quantum computer rather than using transistors is using spins you can have superposition of spins so different states more combinations means more memory,1,11,65,1
wired,wired_Talia_14,13,talia,2,undergraduate,expert,so that's pretty good so you mentioned superposition but you can also use other quantum properties like entanglement have you heard of entanglement,1,12,66,1
wired,wired_Talia_14,14,talia,2,undergraduate,partner,i have not,1,13,67,1
wired,wired_Talia_14,15,talia,2,undergraduate,expert,okay so it's this idea that you have two objects and when you entangle them together they become connected and then they're sort of permanently connected to each other and they behave in ways that are sort of a system now so superposition is one quantum property that we use entanglement is another quantum property and a third is interference how much you know about interference,3,14,68,1
wired,wired_Talia_14,16,talia,2,undergraduate,partner,um not much,1,15,69,1
wired,wired_Talia_14,17,talia,2,undergraduate,expert,okay so how do noise-canceling headphones work,1,16,70,1
wired,wired_Talia_14,18,talia,2,undergraduate,partner,um they read like wave like ambient wavelengths and then produce like the opposite one to cancel out,1,17,71,1
wired,wired_Talia_14,19,talia,2,undergraduate,expert,they create interference so you can have constructive interference and you can have destructive interference we have constructive interference you have amplitudes wave amplitudes that add until the signal gets larger and if you have destructive interference the amplitudes cancel by using a property like interference we can control quantum states and amplify the kinds of signals that are towards the right answer and then cancel the types of signals that are leading to the wrong answer so given that you know that we're trying to use superposition entanglement and interference for computation how do you think we build these computers,5,18,72,1
wired,wired_Talia_14,20,talia,2,undergraduate,partner,i have no idea,1,19,73,1
wired,wired_Talia_14,21,talia,2,undergraduate,expert,so step one is you need to be able to have an object or physical device we call it a qubit or quantum bit that can actually handle those things can actually be put into superpositions of states you know two cubit states that you can physically entangle with each other that's not really trivial right and things in our classical world you can't really entangle things in our classical world so easily we need to use devices where they can they can support a quantum state and we can manipulate that quantum state atoms ions and in our case superconducting qubits we make qubits out of superconducting materials,5,20,74,2
wired,wired_Talia_14,22,talia,2,undergraduate,partner,but as like a programmer how would quantum computing affect a different way of writing a program,1,21,75,2
wired,wired_Talia_14,23,talia,2,undergraduate,expert,it's a perfect question i mean it's very early for quantum computing but we're building assembly languages we're building layers of abstraction that are going to get you to a point as a programmer where you can interchangeably be programming something the way that you already do and then make calls to a quantum computer so that you can bring it in when it makes sense we're not envisioning quantum computers completely replacing classical computers anytime soon we think that quantum computing is going to be used to accelerate the kinds of things that are really hard for for classical machines,4,22,76,2
wired,wired_Talia_14,24,talia,2,undergraduate,partner,so what exactly are some of those problems,1,23,77,2
wired,wired_Talia_14,25,talia,2,undergraduate,expert,simulating nature is something that's really hard because if you take something like you know modeling atomic bonding and electronic orbital overlap instead of now writing out a giant summation over many terms you try and actually mimic the system you're trying to simulate directly on a quantum computer which we can do for chemistry and uh we're looking at ways of doing that for other types of things there's a lot of exciting research right now on machine learning trying to use quantum systems to accelerate machine learning problems,2,24,78,2
wired,wired_Talia_14,26,talia,2,undergraduate,partner,so would it be like in five years or ten years that i would be able to have like one of these sitting in my laptop just in my dorm,1,25,79,2
wired,wired_Talia_14,27,talia,2,undergraduate,expert,i don't think you're going to have one in your dorm room anytime soon but you'll have access to one there's three free quantum computers that are all sitting in this lab here that anyone in the world can access through the cloud,2,26,80,2
wired,wired_Talia_14,28,talia,2,undergraduate,partner,okay so quantum computing creates new possibilities and new ways to approach problems that classical computers have difficulty doing,1,27,81,2
wired,wired_Talia_14,29,talia,2,undergraduate,expert,couldn't have said it better myself,1,28,82,2
wired,wired_Talia_15,1,talia,3,graduate,partner,so i'm a first year master's student and i'm studying machine learning so it's in the computer science department but it mixes computer science with math and probability and statistics,1,0,83,0
wired,wired_Talia_15,2,talia,3,graduate,expert,so have you come upon sort of any limits to machine learning,1,1,84,0
wired,wired_Talia_15,3,talia,3,graduate,partner,certainly depending on the complexity of your model uh then computational speed is one thing,1,2,85,0
wired,wired_Talia_15,4,talia,3,graduate,expert,i have colleagues here that tell me it can take up to weeks to train certain neural networks right,1,3,86,0
wired,wired_Talia_15,5,talia,3,graduate,partner,sure yeah,1,4,87,0
wired,wired_Talia_15,6,talia,3,graduate,expert,and actually machine learning is one research direction where we're really hoping that we're going to find um key parts of the machine learning computation that can be sped up using quantum computing,1,5,88,0
wired,wired_Talia_15,7,talia,3,graduate,partner,yeah it's exciting so in a classical computer you know you have all sorts of logical gates that perform operations and they change an input to some sort of output but i guess it's not immediately obvious how you do that with quantum computers,3,6,89,0
wired,wired_Talia_15,8,talia,3,graduate,expert,if you think about even just classical information like bits right at the end of the day when you store a bit in your hard drive there's a magnetic domain and you have a magnetic polarization right,1,7,90,0
wired,wired_Talia_15,9,talia,3,graduate,partner,sure,1,8,91,1
wired,wired_Talia_15,10,talia,3,graduate,expert,you can change the magnetization to be pointing up or pointing down right quantum systems we're still manipulating a device and changing the quantum state of that of that device you can imagine if it's a spin that you could have spin up and spin down but you can also if you isolate it enough you can have a superposition of up and down,3,9,92,1
wired,wired_Talia_15,11,talia,3,graduate,partner,sure,1,10,93,1
wired,wired_Talia_15,12,talia,3,graduate,expert,so what we do when we try to solve problems with a quantum computer is we encode parts of the problem we're trying to solve into a complex quantum state and then we manipulate that state to drive it towards what will eventually represent the solution,2,11,94,1
wired,wired_Talia_15,13,talia,3,graduate,partner,so how do we actually uh encode it to start with,1,12,95,1
wired,wired_Talia_15,14,talia,3,graduate,expert,yeah that's a really good question this actually is a model of the inside of one of our quantum computers,2,13,96,1
wired,wired_Talia_15,15,talia,3,graduate,partner,okay,1,14,97,1
wired,wired_Talia_15,16,talia,3,graduate,expert,so you need a chip with qubits each qubit is a carrier of quantum information and the way we control the state of that qubit is using microwave pulses you send them all the way down these cables and we've calibrated these microwave pulses so that we know exactly this kind of pulse what this frequency and this duration will put the qubit into superposition or we'll flip the state of the qubit from zero to one or if we apply a microwave pulse between two qubits we can entangle them,4,15,98,1
wired,wired_Talia_15,17,talia,3,graduate,partner,how do we measure,1,16,99,1
wired,wired_Talia_15,18,talia,3,graduate,expert,yes exactly also through microwave signals,1,17,100,1
wired,wired_Talia_15,19,talia,3,graduate,partner,okay,1,18,101,1
wired,wired_Talia_15,20,talia,3,graduate,expert,the key is to come up with algorithms where the result is deterministic,1,19,102,2
wired,wired_Talia_15,21,talia,3,graduate,partner,interesting so what do those algorithms look like,1,20,103,2
wired,wired_Talia_15,22,talia,3,graduate,expert,there's sort of two main classes of quantum algorithms there's algorithms which were developed for decades right things like shor's algorithm which is for factoring grover's algorithm for unstructured search and these algorithms were designed assuming that you had a perfect fault tolerant quantum computer which is many decades away so we're currently in a phase where we're exploring what can we do with these near-term quantum computers and the answer is going to be well we need different kinds of algorithms to really even explore that question,4,21,104,2
wired,wired_Talia_15,23,talia,3,graduate,partner,yeah certainly having a search algorithm is very useful um factoring those are definitely useful things that i would imagine could be done a lot faster on a quantum computer,1,22,105,2
wired,wired_Talia_15,24,talia,3,graduate,expert,yeah they also unfortunately require fault tolerance right now the algorithms that we know of today to do those things um on a quantum computer require you to have millions of error-corrected qubits today we're at like 50. it's actually amazing that we're at 50. there's things that we know or we have strong reason to believe um are going to be faster to do on a quantum computer and then there's things that we'll discover just by virtue of having one,4,23,106,2
wired,wired_Talia_15,25,talia,3,graduate,partner,sure how could someone like me who's a grad student get involved in this or what kinds of challenges are you facing that someone like me could help out with,1,24,107,2
wired,wired_Talia_15,26,talia,3,graduate,expert,i'm glad you're interested i think the place where lots of people can get involved right now is by going and trying it out and thinking about what they could do with it there's a lot of opportunity to find these near-term applications that are only going to be found by trying things out,3,25,108,2
wired,wired_Talia_16,1,talia,4,expert,partner,"I'm a theoretical physicist. I started out in condensed matter theory, a theory that studies superconductors and magnets. And I had to learn a new field of quantum optics and apply those ideas. One of the nice things about being a theorist is you get to keep learning new things.",4,0,109,0
wired,wired_Talia_16,2,talia,4,expert,expert,"So Steve, tell me about your research and the work you've been doing in quantum computing.",1,1,110,0
wired,wired_Talia_16,3,talia,4,expert,partner,"My main focus right now is quantum error correction and trying to understand this concept of fault tolerance. Which everybody thinks they know when they see it, but nobody in the quantum case can precisely define it.",2,2,111,0
wired,wired_Talia_16,4,talia,4,expert,expert,It's something that we've already figured out for classical computing. Something that amazes me is all the parallels between what we're going through now for quantum computing and what we went through for classical computing.,2,3,112,0
wired,wired_Talia_16,5,talia,4,expert,partner,"I was asking a computer scientist recently where to read about fault tolerance in classical computing. He said they don't teach that in computer science classes anymore because the hardware has become so reliable. In a quantum system, when you look at it or make measurements, it can change in a way that's beyond your control. We have the following task: build a nearly perfect computer out of a whole bunch of imperfect parts.",4,4,113,0
wired,wired_Talia_16,6,talia,4,expert,expert,Common myth: how many qubits do you have? That's the only thing that matters. Just add more qubits—what's the big deal? Pattern them on your chip.,2,5,114,0
wired,wired_Talia_16,7,talia,4,expert,partner,"The great power of a quantum computer is also its Achilles heel. It's very sensitive to perturbations, noise, and environmental effects. You're just multiplying your problems if all you're doing is adding qubits.",3,6,115,0
wired,wired_Talia_16,8,talia,4,expert,expert,Exactly. Something that frustrates a lot of people about quantum computing is the concept of decoherence. You can only keep your information quantum for so long. That limits how many operations you can do in a row before you lose your information.,3,7,116,0
wired,wired_Talia_16,9,talia,4,expert,partner,"That's the challenge, I would say. As much progress as we've made, it's frustrating to still be facing it.",2,8,117,0
wired,wired_Talia_16,10,talia,4,expert,expert,Let's talk about what needs to happen between now and fully fault-tolerant quantum computers. There are so many things that need to happen. One thing is building layers of abstraction that make it easier for programmers to enter at the ground level.,3,9,118,0
wired,wired_Talia_16,11,talia,4,expert,partner,"Exactly. There's going to be a co-evolution of hardware, software, middleware, and the whole stack.",1,10,119,0
wired,wired_Talia_16,12,talia,4,expert,expert,Another common myth is that in the next five years quantum computing will solve climate change and cancer.,1,11,120,0
wired,wired_Talia_16,13,talia,4,expert,partner,"In the next five years there will be tremendous progress, but we're still at the vacuum tube or transistor stage. We're trying to invent the integrated circuit and scale up; it's still very early.",2,12,121,0
wired,wired_Talia_16,14,talia,4,expert,expert,One last myth: quantum computers are about to break into your bank account and break encryption.,1,13,122,0
wired,wired_Talia_16,15,talia,4,expert,partner,"There exists Shor's algorithm, which proves that a large enough quantum computer could factor large numbers. That underlies RSA encryption, which is widely used on the internet. First, we're far from having a quantum computer large enough to run Shor's algorithm at that scale. Second, there are many encryption schemes that don't rely on factoring. So nobody needs to be concerned at the moment. In the end, quantum mechanics actually supports privacy enhancement. Quantum communication channels can be provably secure based on the laws of physics.",7,14,123,0
wired,wired_Talia_16,16,talia,4,expert,expert,"Now that people can access quantum computers through the cloud, they're building games and doing cool things. We've seen the emergence of quantum games. What do you think people want to do with them?",3,15,124,0
wired,wired_Talia_16,17,talia,4,expert,partner,"I have no idea what people will end up using them for. If you handed someone an iPhone 30 years ago, they would have called you a wizard. Things are going to happen that we just can't foresee.",3,16,125,0
wired,wired_astro_12,1,astro,0,child,partner,Hi.,1,0,126,0
wired,wired_astro_12,2,astro,0,child,expert,"Hi, welcome. Tell me your name.",2,1,127,0
wired,wired_astro_12,3,astro,0,child,partner,Jude.,1,2,128,0
wired,wired_astro_12,4,astro,0,child,expert,I wanted to ask you if you have ever heard of a black hole?,1,3,129,0
wired,wired_astro_12,5,astro,0,child,partner,"Yeah, I think that they're scary and cool. 'Cause you can get sucked in and get lost forever and get plopped out in a random place. It's like a big, giant, black thingy.",3,4,130,0
wired,wired_astro_12,6,astro,0,child,expert,"So black holes, you describe them as huge. The interesting thing about black holes is they're hugely heavy, but they're actually physically really small. What really matters is the density. Do you know what density is?",4,5,131,0
wired,wired_astro_12,7,astro,0,child,partner,"It's not weight, but it's how much of it is in it.",1,6,132,0
wired,wired_astro_12,8,astro,0,child,expert,"Here, let me show you something. I can ask how heavy it is. Yeah. I can also ask how big it is, which is a question about its volume. If I make it smaller, then what's happening is it's becoming more dense. So imagine I crushed this really, really small. It would weigh the same, it would have the same mass, but it would be much more dense.",7,7,133,0
wired,wired_astro_12,9,astro,0,child,partner,How does it go that small?,1,8,134,0
wired,wired_astro_12,10,astro,0,child,expert,"If a star is heavy enough to explode into supernova what's left begins to collapse under its own weight. And if that's heavy enough, the core will not be able to stop collapsing, 'cause it no longer has the thermonuclear fuel, it's run outta fuel. And if it's run outta fuel, it's no longer shining and pushing outward. And without that it itself begins to go dark and there's nothing fighting the collapse anymore. And that's when you form a black hole.",5,9,135,1
wired,wired_astro_12,11,astro,0,child,partner,"So if like the sun all collapsed on itself, it would form a black hole?",1,10,136,1
wired,wired_astro_12,12,astro,0,child,expert,"Well, that's a really good question. So interestingly, the sun itself isn't heavy enough. So it has to be heavy enough that when it begins to collapse, it just overcomes all attempts to fight it. If you made something really dense, you would have to travel faster than the speed of light to actually escape. That's 300,000 kilometers per second.",5,11,137,1
wired,wired_astro_12,13,astro,0,child,partner,So it goes so fast that there's it's all dark?,1,12,138,1
wired,wired_astro_12,14,astro,0,child,expert,"So it goes so fast that it goes completely dark. Any light that veers too close will fall in, will not be able to make it back out again. If a light is shining from the sun near a black hole, the black hole's not touching it. Why does the light get pulled in? Why does that happen?",5,13,139,1
wired,wired_astro_12,15,astro,0,child,partner,Because the black hole is taking other stuff?,1,14,140,1
wired,wired_astro_12,16,astro,0,child,expert,"It is taking other stuff, but the funny question was like, if I wanted to move your chair, you'd think it was really strange if I didn't have to come near you and actually grab the chair and move it. One of the things Einstein thought about is he imagined that what the black hole is doing is it's changing the shape of space around it. What do you think of that idea?",3,15,141,1
wired,wired_astro_12,17,astro,0,child,partner,It's crazy.,1,16,142,1
wired,wired_astro_12,18,astro,0,child,expert,"Isn't it crazy? And then Einstein goes a step further and thinks, well, what black holes must be doing is curving the space so strongly that even light gets caught. Sometimes you can get light caught into a whole orbit, literally the light going round and round in an orbit.",3,17,143,1
wired,wired_astro_12,19,astro,0,child,partner,"So black hole, it doesn't attract light, it moves the space so that the curve is pointed towards it?",1,18,144,1
wired,wired_astro_12,20,astro,0,child,expert,That's right. We've been talking for a little while about black holes. What are you gonna walk away with in your impression of what a black hole is?,3,19,145,1
wired,wired_astro_12,21,astro,0,child,partner,"It's kind of curves in space that are all coming to one point. Everything that goes on those curves changes directions to come in and even light can't escape it, nothing can.",2,20,146,1
wired,wired_astro_12,22,astro,0,child,expert,You said that very beautifully. Does that feel like a different idea of a black hole than the one you had before we spoke? How black holes are made,3,21,147,1
wired,wired_astro_12,23,astro,0,child,partner,"Yeah, a lot.",1,22,148,1
wired,wired_astro_13,1,astro,1,teenager,expert,Have you heard about black holes?,1,0,149,0
wired,wired_astro_13,2,astro,1,teenager,partner,"Yes, I know it has a lot of mass, but it's very small. I know that there are several theories about the universe due to black holes, like, around the universe and how it's made.",2,1,150,0
wired,wired_astro_13,3,astro,1,teenager,expert,"So a lot of times stars are born together in two star systems and when they die, if they're heavy enough, they will collapse under their own weight and form a black hole. So here you have a black hole and a big fluffy star. And what will happen is it'll start to tear apart its neighboring star. Literally parts of the star will begin to spill onto the black hole and splatter on the black hole. But let's say both those stars formed black holes. And what these black holes do is they are like mallets on a drum. They create literally waves in the shape of spacetime as they're moving. So imagine mallets on a drum, how the drum ripples. Depending on how the mallets are moving you hear different sounds. So effectively these black holes, as they get very close together in the final stages of their life together, they're orbiting each other at hundreds of times a second. It's this really crazy event, but it's happening in complete darkness. Eventually they bobble together and they merge and then they wring out, the spacetime's going crazy around them, it's this storm in spacetime, and they settle down to a quiet black hole. Then those waves that they created travel through the universe, basically undisturbed. For a long time people thought, well, even if black holes are out there, they're impossible to observe. And then they got very clever. You might wonder how we could possibly hear black holes, that sounds crazy. So I'm gonna show you, but I'm gonna need your help. This demo involves an electric guitar. Do you play at all?",19,2,151,0
wired,wired_astro_13,4,astro,1,teenager,partner,A little bit?,1,3,152,0
wired,wired_astro_13,5,astro,1,teenager,expert,"Okay, you wanna do the demo for me? So the LIGO instrument electronically records the ringing of the shape of space with its very complicated instrument. It stands for Laser Interferometric Gravitational-Waves Observatory and the design was incredibly difficult and they didn't know if they would succeed. I think of the instrument as like the body of the electric guitar. And then they take the readout of the motions of the waves that they're recording, just like that guitar is recording the motions of the waves on the string. Now just play it like a little bit. And you can't hear anything, right? You're not meant to hear an electric guitar when it's not plugged in. What's happening is the guitar strings are ringing, but so quietly that we can't actually hear the sound. And this is like the gravitational waves, which are ringing the drum of spacetime, but so quietly that they're not move the air and we're not hearing them. So now play and I'm gonna turn the volume up a little bit. While I can't actually hear the ringing of the strings themselves, I can hear the data of the shape of the string recorded and played through this amplifier. And that's kind of the idea behind the LIGO instrument.",13,4,153,0
wired,wired_astro_13,6,astro,1,teenager,partner,How do you know that it's like the black hole that's making this sound and nothing else?,1,5,154,0
wired,wired_astro_13,7,astro,1,teenager,expert,"It's a great question. If I didn't see you playing the guitar, I would recognize the sound of a guitar.",2,6,155,0
wired,wired_astro_13,8,astro,1,teenager,partner,Mhm,1,7,156,0
wired,wired_astro_13,9,astro,1,teenager,expert,"And even if I had never heard of a guitar before I could figure out the frequencies that the string was playing, I could tell how strongly it had been plucked, and I could tell the length of it and where it was pinned down from the harmonics of the string. And I can tell the different lengths of the strings from the notes that they play. So I can actually reconstruct the instrument that's playing it. And it's very similar to LIGO, we can listen to the notes, the amplitude, the harmonics, and we can deduce the size and shape of the objects doing that. And they're very massive and they're very small and they have all the markings of a black hole.",5,8,157,0
wired,wired_astro_13,10,astro,1,teenager,partner,"Is there anything that like, gets affected on Earth because of those waves?",1,9,158,0
wired,wired_astro_13,11,astro,1,teenager,expert,"It's a really good question. Only this instrument, and that's why it was so hard to build. And by the time it gets here, it's so weak that it's only squeezing and stretching space at like the fraction of a nucleus over very large distances. Has your understanding of black holes changed over the course of our conversation?",4,10,159,0
wired,wired_astro_13,12,astro,1,teenager,partner,"I knew there were waves for like everything, but I never thought specifically, oh yeah, black holes have, like, waves. I know more and less.",2,11,160,0
wired,wired_astro_13,13,astro,1,teenager,expert,I know what you mean.,1,12,161,0
wired,wired_astro_14,1,astro,2,undergraduate,partner,"I'm Jayda, It's nice to meet you.",1,0,162,0
wired,wired_astro_14,2,astro,2,undergraduate,expert,"Nice to meet you, and where are you studying?",1,1,163,0
wired,wired_astro_14,3,astro,2,undergraduate,partner,I'm a senior at NYU. I'm studying physics and environmental studies.,2,2,164,0
wired,wired_astro_14,4,astro,2,undergraduate,expert,What is your impression of what a black hole is?,1,3,165,0
wired,wired_astro_14,5,astro,2,undergraduate,partner,"So it's a star that has collapsed. It has so much concentrated mass and gravity that there's a point outside of the black hole called the event horizon. So once you get past the event horizon, nothing, not even light can escape from that.",3,4,166,0
wired,wired_astro_14,6,astro,2,undergraduate,expert,"So that's a great definition and I wanna pick that apart a little bit. So what you described is just right. Stars, when they run out of thermonuclear fuel are gonna collapse under their own weight. It'll explode in a supernova, it'll leave a core, and if the core itself is heavy enough, it will keep collapsing. It does, as you say, reach this point where not even light can escape. But the amazing thing is it leaves that point, you called it rightly the event horizon, it leaves it behind kind of like an archeological record because the star itself can no more sit at the event horizon than it can race outward at the speed of light. So the core of the star keeps collapsing and where it goes nobody knows. So in a weird way, the black hole isn't anymore a crush of matter. It left it behind in its wake, but the stuff of the star is gone.",9,5,167,0
wired,wired_astro_14,7,astro,2,undergraduate,partner,"I've heard of Schwarzschild black holes, which is a black hole that is static, a Kerr black hole or a Kerr-Newman black hole, which is a black hole that rotates, but what makes a black hole static versus rotating? And what's more common?",2,6,168,0
