dataset,video_id,conversation_id,file_number,level,level_label,utterance_id,utterance_number,turn_id,utterance_in_turn,sequence,speaker,speaker_raw,speaker_role,text,n_words,include_geometry_primary,embedding_idx,notes,source_file,_original_dataframe_row,n_model_tokens,exceeds_model_limit
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_013,13,10,1,13,A,Speaker 1 (Talia Gershon),expert,yeah do you know what your computer thinks that is,10,True,12,,data/wired/wired_talia/wired_Talia_12.csv,5395,12,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_014,14,11,1,14,B,Speaker 2 (Genesis - child),partner,zero one,2,False,13,,data/wired/wired_talia/wired_Talia_12.csv,5396,4,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_015,15,12,1,15,A,Speaker 1 (Talia Gershon),expert,this really specific combination of zeros and ones,8,True,14,,data/wired/wired_talia/wired_Talia_12.csv,5397,11,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_016,16,12,2,16,A,Speaker 1 (Talia Gershon),expert,everything that your computer does showing you pink panther videos on youtube calculating things searching the internet it does all of that with a really specific combination of zeros and ones which is crazy right,35,True,15,,data/wired/wired_talia/wired_Talia_12.csv,5398,38,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_017,17,12,3,17,A,Speaker 1 (Talia Gershon),expert,that would be like saying your computer only understands these quarters,11,True,16,,data/wired/wired_talia/wired_Talia_12.csv,5399,13,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_018,18,12,4,18,A,Speaker 1 (Talia Gershon),expert,for each quarter you need to tell it that you're going to use heads tails and you assign it heads or tails,22,True,17,,data/wired/wired_talia/wired_Talia_12.csv,5400,26,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_019,19,12,5,19,A,Speaker 1 (Talia Gershon),expert,so i can switch between heads and tails and i can switch the zeros and ones in my computer so that it represents what i wanted to represent like an a,31,True,18,,data/wired/wired_talia/wired_Talia_12.csv,5401,34,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_020,20,12,6,20,A,Speaker 1 (Talia Gershon),expert,and with quantum computers we have new rules we get to use too,13,True,19,,data/wired/wired_talia/wired_Talia_12.csv,5402,15,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_021,21,12,7,21,A,Speaker 1 (Talia Gershon),expert,we can actually spin one of our quarters so it doesn't have to choose just one or the other,19,True,20,,data/wired/wired_talia/wired_Talia_12.csv,5403,23,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_022,22,13,1,22,B,Speaker 2 (Genesis - child),partner,can computers help you with um your homework your really hard homework,12,True,21,,data/wired/wired_talia/wired_Talia_12.csv,5404,14,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_023,23,14,1,23,A,Speaker 1 (Talia Gershon),expert,yeah they can,3,False,22,,data/wired/wired_talia/wired_Talia_12.csv,5405,5,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_024,24,14,2,24,A,Speaker 1 (Talia Gershon),expert,especially if doing your homework involves calculating something or finding information,11,True,23,,data/wired/wired_talia/wired_Talia_12.csv,5406,13,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_025,25,14,3,25,A,Speaker 1 (Talia Gershon),expert,but what if your homework was to discover something totally new,11,True,24,,data/wired/wired_talia/wired_Talia_12.csv,5407,13,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_026,26,14,4,26,A,Speaker 1 (Talia Gershon),expert,a lot of those discovery questions are much harder to solve using the computers we have today,17,True,25,,data/wired/wired_talia/wired_Talia_12.csv,5408,19,False
wired,talia,wired_Talia_12,12,0,child,wired::wired_Talia_12::utterance_027,27,14,5,27,A,Speaker 1 (Talia Gershon),expert,so the reason we're building these kinds of computers is because we think that maybe one day they're going to do a lot of really important things like help us understand nature better maybe help us create new medicines to help people.,42,True,26,,data/wired/wired_talia/wired_Talia_12.csv,5409,49,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_001,1,1,1,1,A,Speaker 1 (Talia Gershon),expert,what's your favorite kind of computer smartphone tablet regular laptop pc,11,True,27,,data/wired/wired_talia/wired_Talia_13.csv,5410,15,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_002,2,2,1,2,B,Speaker 3 (Jesse - teen),partner,i've got to go with my iphone,7,True,28,,data/wired/wired_talia/wired_Talia_13.csv,5411,11,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_003,3,3,1,3,A,Speaker 1 (Talia Gershon),expert,so what do you do with your iphone,8,True,29,,data/wired/wired_talia/wired_Talia_13.csv,5412,10,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_004,4,4,1,4,B,Speaker 3 (Jesse - teen),partner,social media um use it for your studying,8,True,30,,data/wired/wired_talia/wired_Talia_13.csv,5413,10,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_005,5,5,1,5,A,Speaker 1 (Talia Gershon),expert,have you ever run out of space on your iphone,10,True,31,,data/wired/wired_talia/wired_Talia_13.csv,5414,12,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_006,6,6,1,6,B,Speaker 3 (Jesse - teen),partner,all the time,3,False,32,,data/wired/wired_talia/wired_Talia_13.csv,5415,5,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_007,7,7,1,7,A,Speaker 1 (Talia Gershon),expert,me too,2,False,33,,data/wired/wired_talia/wired_Talia_13.csv,5416,4,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_008,8,8,1,8,B,Speaker 3 (Jesse - teen),partner,yeah always when i'm trying to take a photo,9,True,34,,data/wired/wired_talia/wired_Talia_13.csv,5417,13,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_009,9,9,1,9,A,Speaker 1 (Talia Gershon),expert,so did you know that there's certain kinds of problems that computers sort of run out of space almost,19,True,35,,data/wired/wired_talia/wired_Talia_13.csv,5418,23,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_010,10,9,2,10,A,Speaker 1 (Talia Gershon),expert,like you're trying to solve the problem and just like how you run out of space on your iphone when you're trying to take a picture if you're trying to solve the problem you just run out of space,39,True,36,,data/wired/wired_talia/wired_Talia_13.csv,5419,47,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_011,11,9,3,11,A,Speaker 1 (Talia Gershon),expert,and even if you have the world's biggest supercomputer did you know that can still happen,16,True,37,,data/wired/wired_talia/wired_Talia_13.csv,5420,23,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_012,12,10,1,12,B,Speaker 3 (Jesse - teen),partner,wow,1,False,38,,data/wired/wired_talia/wired_Talia_13.csv,5421,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_013,13,11,1,13,A,Speaker 1 (Talia Gershon),expert,so my team is working on building new kinds of computers all together ones that operate by totally different set of rules,22,True,39,,data/wired/wired_talia/wired_Talia_13.csv,5422,24,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_014,14,11,2,14,A,Speaker 1 (Talia Gershon),expert,so do you know what that is,7,True,40,,data/wired/wired_talia/wired_Talia_13.csv,5423,9,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_015,15,12,1,15,B,Speaker 3 (Jesse - teen),partner,i have no clue,4,False,41,,data/wired/wired_talia/wired_Talia_13.csv,5424,6,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_016,16,13,1,16,A,Speaker 1 (Talia Gershon),expert,it's a quantum computer,4,False,42,,data/wired/wired_talia/wired_Talia_13.csv,5425,8,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_017,17,14,1,17,B,Speaker 3 (Jesse - teen),partner,a what,2,False,43,,data/wired/wired_talia/wired_Talia_13.csv,5426,4,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_018,18,15,1,18,A,Speaker 1 (Talia Gershon),expert,you ever heard of a quantum computer,7,True,44,,data/wired/wired_talia/wired_Talia_13.csv,5427,9,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_019,19,16,1,19,B,Speaker 3 (Jesse - teen),partner,i haven't,2,False,45,,data/wired/wired_talia/wired_Talia_13.csv,5428,6,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_020,20,17,1,20,A,Speaker 1 (Talia Gershon),expert,have you ever heard of the word quantum,8,True,46,,data/wired/wired_talia/wired_Talia_13.csv,5429,10,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_021,21,18,1,21,B,Speaker 3 (Jesse - teen),partner,no,1,False,47,,data/wired/wired_talia/wired_Talia_13.csv,5430,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_022,22,19,1,22,A,Speaker 1 (Talia Gershon),expert,okay so quantum mechanics is a branch of science just like any other branch of science,16,True,48,,data/wired/wired_talia/wired_Talia_13.csv,5431,18,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_023,23,19,2,23,A,Speaker 1 (Talia Gershon),expert,it's a branch of physics,5,True,49,,data/wired/wired_talia/wired_Talia_13.csv,5432,9,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_024,24,19,3,24,A,Speaker 1 (Talia Gershon),expert,it's the study of things that are either really really small really really well isolated and really really cold,19,True,50,,data/wired/wired_talia/wired_Talia_13.csv,5433,23,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_025,25,19,4,25,A,Speaker 1 (Talia Gershon),expert,and this particular branch of science is something we're using to totally reimagine how computing works,16,True,51,,data/wired/wired_talia/wired_Talia_13.csv,5434,23,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_026,26,19,5,26,A,Speaker 1 (Talia Gershon),expert,so we're building totally new kinds of computers based on the laws of quantum mechanics that's what a quantum computer is,21,True,52,,data/wired/wired_talia/wired_Talia_13.csv,5435,27,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_027,27,20,1,27,B,Speaker 3 (Jesse - teen),partner,huh,1,False,53,,data/wired/wired_talia/wired_Talia_13.csv,5436,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_028,28,21,1,28,A,Speaker 1 (Talia Gershon),expert,i'm going to start by telling you about something called superposition so i'm going to explain it using this giant penny,21,True,54,,data/wired/wired_talia/wired_Talia_13.csv,5437,28,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_029,29,22,1,29,B,Speaker 3 (Jesse - teen),partner,wow is that like worth 100 pennies,7,True,55,,data/wired/wired_talia/wired_Talia_13.csv,5438,10,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_030,30,23,1,30,A,Speaker 1 (Talia Gershon),expert,i don't know what it's worth but uh i can put it face up right in that heads i can put it face down right,25,True,56,,data/wired/wired_talia/wired_Talia_13.csv,5439,31,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_031,31,23,2,31,A,Speaker 1 (Talia Gershon),expert,so at any given time point in time if i ask you is my penny heads or tails probably you could answer it right,24,True,57,,data/wired/wired_talia/wired_Talia_13.csv,5440,26,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_032,32,24,1,32,B,Speaker 3 (Jesse - teen),partner,yeah,1,False,58,,data/wired/wired_talia/wired_Talia_13.csv,5441,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_033,33,25,1,33,A,Speaker 1 (Talia Gershon),expert,okay but what if i spin the penny,8,True,59,,data/wired/wired_talia/wired_Talia_13.csv,5442,10,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_034,34,26,1,34,B,Speaker 3 (Jesse - teen),partner,hmm,1,False,60,,data/wired/wired_talia/wired_Talia_13.csv,5443,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_035,35,27,1,35,A,Speaker 1 (Talia Gershon),expert,so let's do it okay so while it's spinning is it heads or tails,14,True,61,,data/wired/wired_talia/wired_Talia_13.csv,5444,20,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_036,36,28,1,36,B,Speaker 3 (Jesse - teen),partner,head,1,False,62,,data/wired/wired_talia/wired_Talia_13.csv,5445,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_037,37,29,1,37,A,Speaker 1 (Talia Gershon),expert,while it's spinning,3,False,63,,data/wired/wired_talia/wired_Talia_13.csv,5446,7,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_038,38,30,1,38,B,Speaker 3 (Jesse - teen),partner,oh it i would know it's sort of,8,True,64,,data/wired/wired_talia/wired_Talia_13.csv,5447,12,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_039,39,31,1,39,A,Speaker 1 (Talia Gershon),expert,it's sort of a combination of heads and tails right would you say,13,True,65,,data/wired/wired_talia/wired_Talia_13.csv,5448,17,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_040,40,31,2,40,A,Speaker 1 (Talia Gershon),expert,so superposition is this idea that my penny is not just either heads or tails it's in this state which is a combination of heads and tails,27,True,66,,data/wired/wired_talia/wired_Talia_13.csv,5449,32,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_041,41,31,3,41,A,Speaker 1 (Talia Gershon),expert,this quantum property is something that we can have in real real physical objects in the world,17,True,67,,data/wired/wired_talia/wired_Talia_13.csv,5450,19,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_042,42,31,4,42,A,Speaker 1 (Talia Gershon),expert,so that's super position and the second thing that we'll talk about is called entanglement so now i'm going to give you a penny wow,25,True,68,,data/wired/wired_talia/wired_Talia_13.csv,5451,35,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_043,43,31,5,43,A,Speaker 1 (Talia Gershon),expert,when we use the word entangled in everyday language what do we mean,13,True,69,,data/wired/wired_talia/wired_Talia_13.csv,5452,16,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_044,44,32,1,44,B,Speaker 3 (Jesse - teen),partner,that something's intertwined or,4,False,70,,data/wired/wired_talia/wired_Talia_13.csv,5453,9,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_045,45,33,1,45,A,Speaker 1 (Talia Gershon),expert,exactly that there's two things that are connected in some way,11,True,71,,data/wired/wired_talia/wired_Talia_13.csv,5454,15,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_046,46,33,2,46,A,Speaker 1 (Talia Gershon),expert,and usually we can separate them again yeah your hair is tangled or whatever you can you can untangle it right,21,True,72,,data/wired/wired_talia/wired_Talia_13.csv,5455,24,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_047,47,34,1,47,B,Speaker 3 (Jesse - teen),partner,yeah,1,False,73,,data/wired/wired_talia/wired_Talia_13.csv,5456,3,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_048,48,35,1,48,A,Speaker 1 (Talia Gershon),expert,but in the quantum world when we entangle things they're really now connected it's much much harder to separate them again,21,True,74,,data/wired/wired_talia/wired_Talia_13.csv,5457,28,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_049,49,35,2,49,A,Speaker 1 (Talia Gershon),expert,so using the same analogy we spin our pennies and eventually eventually they both stop right and when they stop it's either heads or tails right,26,True,75,,data/wired/wired_talia/wired_Talia_13.csv,5458,31,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_050,50,35,3,50,A,Speaker 1 (Talia Gershon),expert,so in my case i got tails and you got heads you see how they're totally disconnected from each other right our pennies in the real world,27,True,76,,data/wired/wired_talia/wired_Talia_13.csv,5459,32,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_051,51,35,4,51,A,Speaker 1 (Talia Gershon),expert,now if our pennies were entangled and we both spun them together right when we stopped them if you measured your penny to be ahead i would measure my penny to be ahead,33,True,77,,data/wired/wired_talia/wired_Talia_13.csv,5460,37,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_052,52,35,5,52,A,Speaker 1 (Talia Gershon),expert,and if you measured your penny to be a tails i would measure my opinion to be a tails if,20,True,78,,data/wired/wired_talia/wired_Talia_13.csv,5461,22,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_053,53,35,6,53,A,Speaker 1 (Talia Gershon),expert,we measured it at exactly the same time we would still find that they were both exactly correlated,18,True,79,,data/wired/wired_talia/wired_Talia_13.csv,5462,20,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_054,54,36,1,54,B,Speaker 3 (Jesse - teen),partner,that's crazy that's so cool right oh my god,9,True,80,,data/wired/wired_talia/wired_Talia_13.csv,5463,15,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_055,55,37,1,55,A,Speaker 1 (Talia Gershon),expert,the way that we are able to actually see these quantum properties is by making our quantum chips really really cold so that's what this is all about actually this is called a dilution refrigerator and it's a refrigerator it doesn't look like a normal refrigerator right,47,True,81,,data/wired/wired_talia/wired_Talia_13.csv,5464,56,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_056,56,37,2,56,A,Speaker 1 (Talia Gershon),expert,but it's something that we use actually there's usually a case around it to cool our quantum chips down cold enough that we can create superpositions and we can entangle qubits and the information isn't lost to the environment,39,True,82,,data/wired/wired_talia/wired_Talia_13.csv,5465,52,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_057,57,38,1,57,B,Speaker 3 (Jesse - teen),partner,like what could those chips be used to do,9,True,83,,data/wired/wired_talia/wired_Talia_13.csv,5466,11,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_058,58,39,1,58,A,Speaker 1 (Talia Gershon),expert,so one of the things that we're trying to use quantum computers to do is simulating chemical bonding,18,True,84,,data/wired/wired_talia/wired_Talia_13.csv,5467,23,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_059,59,39,2,59,A,Speaker 1 (Talia Gershon),expert,use a quantum system to model a quantum system,9,True,85,,data/wired/wired_talia/wired_Talia_13.csv,5468,11,False
wired,talia,wired_Talia_13,13,1,teenager,wired::wired_Talia_13::utterance_060,60,40,1,60,B,Speaker 3 (Jesse - teen),partner,yeah i mean i'm definitely going to impress all my friends when i tell them about this they're going to be like quantum what,24,True,86,,data/wired/wired_talia/wired_Talia_13.csv,5469,30,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_001,1,1,1,45,A,Speaker 1 (Talia Gershon),expert,so what do you think that thing is,8,True,87,,data/wired/wired_talia/wired_Talia_14.csv,5470,10,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_002,2,2,1,46,B,Speaker 4 (Amanda - College Student),partner,is it some sort of conjecture circuit,7,True,88,,data/wired/wired_talia/wired_Talia_14.csv,5471,9,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_003,3,3,1,47,A,Speaker 1 (Talia Gershon),expert,that is a really good guess there's parts of that that are definitely about conducting this is the inside of a quantum computer,23,True,89,,data/wired/wired_talia/wired_Talia_14.csv,5472,27,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_004,4,4,1,48,B,Speaker 4 (Amanda - College Student),partner,oh wow,2,False,90,,data/wired/wired_talia/wired_Talia_14.csv,5473,4,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_005,5,5,1,49,A,Speaker 1 (Talia Gershon),expert,yeah this whole infrastructure is all about creating levels that get progressively colder as you go from top to bottom down to the quantum chip which is how we actually control the state of the quibits,36,True,91,,data/wired/wired_talia/wired_Talia_14.csv,5474,40,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_006,6,6,1,50,B,Speaker 4 (Amanda - College Student),partner,oh wow so when you say cold or you mean like physically colder,13,True,92,,data/wired/wired_talia/wired_Talia_14.csv,5475,15,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_007,7,7,1,51,A,Speaker 1 (Talia Gershon),expert,yeah like physically colder so room temperature is 300 kelvin as you get down all the way to the bottom of the fridge it's at 10 milli kelvin,28,True,93,,data/wired/wired_talia/wired_Talia_14.csv,5476,33,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_008,8,8,1,52,B,Speaker 4 (Amanda - College Student),partner,oh wow,2,False,94,,data/wired/wired_talia/wired_Talia_14.csv,5477,4,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_009,9,9,1,53,A,Speaker 1 (Talia Gershon),expert,yeah amanda what do you study,6,True,95,,data/wired/wired_talia/wired_Talia_14.csv,5478,8,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_010,10,10,1,54,B,Speaker 4 (Amanda - College Student),partner,so i'm studying computer science currently a sophomore and the track that i'm in is the intelligent systems track machine learning artificial intelligence,23,True,96,,data/wired/wired_talia/wired_Talia_14.csv,5479,29,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_011,11,11,1,55,A,Speaker 1 (Talia Gershon),expert,you ever heard of quantum computing,6,True,97,,data/wired/wired_talia/wired_Talia_14.csv,5480,8,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_012,12,12,1,56,B,Speaker 4 (Amanda - College Student),partner,from my understanding with a quantum computer rather than using transistors is using spins you can have superposition of spins so different states more combinations means more memory,28,True,98,,data/wired/wired_talia/wired_Talia_14.csv,5481,33,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_013,13,13,1,57,A,Speaker 1 (Talia Gershon),expert,so that's pretty good so you mentioned superposition but you can also use other quantum properties like entanglement have you heard of entanglement,23,True,99,,data/wired/wired_talia/wired_Talia_14.csv,5482,32,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_014,14,14,1,58,B,Speaker 4 (Amanda - College Student),partner,i have not,3,False,100,,data/wired/wired_talia/wired_Talia_14.csv,5483,5,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_015,15,15,1,59,A,Speaker 1 (Talia Gershon),expert,okay so it's this idea that you have two objects and when you entangle them together they become connected and then they're sort of permanently connected to each other and they behave in ways that are sort of a system now,41,True,101,,data/wired/wired_talia/wired_Talia_14.csv,5484,48,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_016,16,15,2,60,A,Speaker 1 (Talia Gershon),expert,so superposition is one quantum property that we use entanglement is another quantum property and a third is interference,19,True,102,,data/wired/wired_talia/wired_Talia_14.csv,5485,24,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_017,17,15,3,61,A,Speaker 1 (Talia Gershon),expert,how much you know about interference,6,True,103,,data/wired/wired_talia/wired_Talia_14.csv,5486,8,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_018,18,16,1,62,B,Speaker 4 (Amanda - College Student),partner,um not much,3,False,104,,data/wired/wired_talia/wired_Talia_14.csv,5487,5,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_019,19,17,1,63,A,Speaker 1 (Talia Gershon),expert,okay so how do noise-canceling headphones work,7,True,105,,data/wired/wired_talia/wired_Talia_14.csv,5488,13,False
wired,talia,wired_Talia_14,14,2,undergraduate,wired::wired_Talia_14::utterance_020,20,18,1,64,B,Speaker 4 (Amanda - College Student),partner,um they read like wave like ambient wavelengths and then produce like the opposite one to cancel out,18,True,106,,data/wired/wired_talia/wired_Talia_14.csv,5489,20,False
