segment_id,dataset,video_id,conversation_id,file_number,level,level_label,turn_id,segment_in_turn,n_segments_in_turn,normalized_time,speaker,speaker_raw,speaker_role,text,n_words,turn_n_words,is_split_turn,raw_row_start,raw_row_end,source_file,_turn_order,embedding_idx,n_model_tokens,would_truncate
wired::wired_astro_12::turn_20::segment_01,wired,astro,wired_astro_12,12,0,child,20,1,1,0.9090909090909091,B,Speaker 2 (child),partner,"It's kind of curves in space that are all coming to one point. Everything that goes on those curves changes directions to come in and even light can't escape it, nothing can.",32,32,False,50,51,data/wired/wired_astro/wired_astro_12.csv,20,20,41,False
wired::wired_astro_12::turn_21::segment_01,wired,astro,wired_astro_12,12,0,child,21,1,1,0.9545454545454546,A,Speaker 1 (Janna Levin),expert,You said that very beautifully. Does that feel like a different idea of a black hole than the one you had before we spoke? How black holes are made,29,29,False,52,54,data/wired/wired_astro/wired_astro_12.csv,21,21,33,False
wired::wired_astro_12::turn_22::segment_01,wired,astro,wired_astro_12,12,0,child,22,1,1,1.0,B,Speaker 2 (child),partner,"Yeah, a lot.",3,3,False,55,55,data/wired/wired_astro/wired_astro_12.csv,22,22,7,False
wired::wired_astro_13::turn_0::segment_01,wired,astro,wired_astro_13,13,1,teenager,0,1,1,0.0,A,Speaker 1 (Janna Levin),expert,Have you heard about black holes?,6,6,False,0,0,data/wired/wired_astro/wired_astro_13.csv,23,23,9,False
wired::wired_astro_13::turn_1::segment_01,wired,astro,wired_astro_13,13,1,teenager,1,1,1,0.08333333333333333,B,Speaker 3 (teen),partner,"Yes, I know it has a lot of mass, but it's very small. I know that there are several theories about the universe due to black holes, like, around the universe and how it's made.",35,35,False,1,2,data/wired/wired_astro/wired_astro_13.csv,24,24,47,False
wired::wired_astro_13::turn_2::segment_01,wired,astro,wired_astro_13,13,1,teenager,2,1,2,0.16666666666666666,A,Speaker 1 (Janna Levin),expert,"So a lot of times stars are born together in two star systems and when they die, if they're heavy enough, they will collapse under their own weight and form a black hole. So here you have a black hole and a big fluffy star. And what will happen is it'll start to tear apart its neighboring star. Literally parts of the star will begin to spill onto the black hole and splatter on the black hole. But let's say both those stars formed black holes. And what these black holes do is they are like mallets on a drum. They create literally waves in the shape of spacetime as they're moving. So imagine mallets on a drum, how the drum ripples. Depending on how the mallets are moving you hear different sounds.",133,276,True,3,21,data/wired/wired_astro/wired_astro_13.csv,25,25,162,False
wired::wired_astro_13::turn_2::segment_02,wired,astro,wired_astro_13,13,1,teenager,2,2,2,0.16666666666666666,A,Speaker 1 (Janna Levin),expert,"So effectively these black holes, as they get very close together in the final stages of their life together, they're orbiting each other at hundreds of times a second. It's this really crazy event, but it's happening in complete darkness. Eventually they bobble together and they merge and then they wring out, the spacetime's going crazy around them, it's this storm in spacetime, and they settle down to a quiet black hole. Then those waves that they created travel through the universe, basically undisturbed. For a long time people thought, well, even if black holes are out there, they're impossible to observe. And then they got very clever. You might wonder how we could possibly hear black holes, that sounds crazy. So I'm gonna show you, but I'm gonna need your help. This demo involves an electric guitar. Do you play at all?",143,276,True,3,21,data/wired/wired_astro/wired_astro_13.csv,25,26,189,False
wired::wired_astro_13::turn_3::segment_01,wired,astro,wired_astro_13,13,1,teenager,3,1,1,0.25,B,Speaker 3 (teen),partner,A little bit?,3,3,False,22,22,data/wired/wired_astro/wired_astro_13.csv,26,27,6,False
wired::wired_astro_13::turn_4::segment_01,wired,astro,wired_astro_13,13,1,teenager,4,1,2,0.3333333333333333,A,Speaker 1 (Janna Levin),expert,"Okay, you wanna do the demo for me? So the LIGO instrument electronically records the ringing of the shape of space with its very complicated instrument. It stands for Laser Interferometric Gravitational-Waves Observatory and the design was incredibly difficult and they didn't know if they would succeed. I think of the instrument as like the body of the electric guitar. And then they take the readout of the motions of the waves that they're recording, just like that guitar is recording the motions of the waves on the string. Now just play it like a little bit. And you can't hear anything, right? You're not meant to hear an electric guitar when it's not plugged in. What's happening is the guitar strings are ringing, but so quietly that we can't actually hear the sound.",134,213,True,23,35,data/wired/wired_astro/wired_astro_13.csv,27,28,170,False
wired::wired_astro_13::turn_4::segment_02,wired,astro,wired_astro_13,13,1,teenager,4,2,2,0.3333333333333333,A,Speaker 1 (Janna Levin),expert,"And this is like the gravitational waves, which are ringing the drum of spacetime, but so quietly that they're not move the air and we're not hearing them. So now play and I'm gonna turn the volume up a little bit. While I can't actually hear the ringing of the strings themselves, I can hear the data of the shape of the string recorded and played through this amplifier. And that's kind of the idea behind the LIGO instrument.",79,213,True,23,35,data/wired/wired_astro/wired_astro_13.csv,27,29,100,False
wired::wired_astro_13::turn_5::segment_01,wired,astro,wired_astro_13,13,1,teenager,5,1,1,0.4166666666666667,B,Speaker 3 (teen),partner,How do you know that it's like the black hole that's making this sound and nothing else?,17,17,False,36,36,data/wired/wired_astro/wired_astro_13.csv,28,30,24,False
wired::wired_astro_13::turn_6::segment_01,wired,astro,wired_astro_13,13,1,teenager,6,1,1,0.5,A,Speaker 1 (Janna Levin),expert,"It's a great question. If I didn't see you playing the guitar, I would recognize the sound of a guitar.",20,20,False,37,38,data/wired/wired_astro/wired_astro_13.csv,29,31,29,False
wired::wired_astro_13::turn_7::segment_01,wired,astro,wired_astro_13,13,1,teenager,7,1,1,0.5833333333333334,B,Speaker 3 (teen),partner,Mhm,1,1,False,39,39,data/wired/wired_astro/wired_astro_13.csv,30,32,4,False
wired::wired_astro_13::turn_8::segment_01,wired,astro,wired_astro_13,13,1,teenager,8,1,1,0.6666666666666666,A,Speaker 1 (Janna Levin),expert,"And even if I had never heard of a guitar before I could figure out the frequencies that the string was playing, I could tell how strongly it had been plucked, and I could tell the length of it and where it was pinned down from the harmonics of the string. And I can tell the different lengths of the strings from the notes that they play. So I can actually reconstruct the instrument that's playing it. And it's very similar to LIGO, we can listen to the notes, the amplitude, the harmonics, and we can deduce the size and shape of the objects doing that. And they're very massive and they're very small and they have all the markings of a black hole.",124,124,False,40,44,data/wired/wired_astro/wired_astro_13.csv,31,33,152,False
wired::wired_astro_13::turn_9::segment_01,wired,astro,wired_astro_13,13,1,teenager,9,1,1,0.75,B,Speaker 3 (teen),partner,"Is there anything that like, gets affected on Earth because of those waves?",13,13,False,45,45,data/wired/wired_astro/wired_astro_13.csv,32,34,17,False
wired::wired_astro_13::turn_10::segment_01,wired,astro,wired_astro_13,13,1,teenager,10,1,1,0.8333333333333334,A,Speaker 1 (Janna Levin),expert,"It's a really good question. Only this instrument, and that's why it was so hard to build. And by the time it gets here, it's so weak that it's only squeezing and stretching space at like the fraction of a nucleus over very large distances. Has your understanding of black holes changed over the course of our conversation?",58,58,False,46,49,data/wired/wired_astro/wired_astro_13.csv,33,35,74,False
wired::wired_astro_13::turn_11::segment_01,wired,astro,wired_astro_13,13,1,teenager,11,1,1,0.9166666666666666,B,Speaker 3 (teen),partner,"I knew there were waves for like everything, but I never thought specifically, oh yeah, black holes have, like, waves. I know more and less.",25,25,False,50,51,data/wired/wired_astro/wired_astro_13.csv,34,36,34,False
wired::wired_astro_13::turn_12::segment_01,wired,astro,wired_astro_13,13,1,teenager,12,1,1,1.0,A,Speaker 1 (Janna Levin),expert,I know what you mean.,5,5,False,52,52,data/wired/wired_astro/wired_astro_13.csv,35,37,8,False
wired::wired_astro_14::turn_0::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,0,1,1,0.0,B,Speaker 4 (college student),partner,"I'm Jayda, It's nice to meet you.",7,7,False,0,0,data/wired/wired_astro/wired_astro_14.csv,36,38,16,False
wired::wired_astro_14::turn_1::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,1,1,1,0.0625,A,Speaker 1 (Janna Levin),expert,"Nice to meet you, and where are you studying?",9,9,False,1,1,data/wired/wired_astro/wired_astro_14.csv,37,39,13,False
wired::wired_astro_14::turn_2::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,2,1,1,0.125,B,Speaker 4 (college student),partner,I'm a senior at NYU. I'm studying physics and environmental studies.,11,11,False,2,3,data/wired/wired_astro/wired_astro_14.csv,38,40,19,False
wired::wired_astro_14::turn_3::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,3,1,1,0.1875,A,Speaker 1 (Janna Levin),expert,What is your impression of what a black hole is?,10,10,False,4,4,data/wired/wired_astro/wired_astro_14.csv,39,41,13,False
wired::wired_astro_14::turn_4::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,4,1,1,0.25,B,Speaker 4 (college student),partner,"So it's a star that has collapsed. It has so much concentrated mass and gravity that there's a point outside of the black hole called the event horizon. So once you get past the event horizon, nothing, not even light can escape from that.",44,44,False,5,7,data/wired/wired_astro/wired_astro_14.csv,40,42,55,False
wired::wired_astro_14::turn_5::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,5,1,2,0.3125,A,Speaker 1 (Janna Levin),expert,"So that's a great definition and I wanna pick that apart a little bit. So what you described is just right. Stars, when they run out of thermonuclear fuel are gonna collapse under their own weight. It'll explode in a supernova, it'll leave a core, and if the core itself is heavy enough, it will keep collapsing. It does, as you say, reach this point where not even light can escape. But the amazing thing is it leaves that point, you called it rightly the event horizon, it leaves it behind kind of like an archeological record because the star itself can no more sit at the event horizon than it can race outward at the speed of light. So the core of the star keeps collapsing and where it goes nobody knows. So in a weird way, the black hole isn't anymore a crush of matter.",147,162,True,8,16,data/wired/wired_astro/wired_astro_14.csv,41,43,181,False
wired::wired_astro_14::turn_5::segment_02,wired,astro,wired_astro_14,14,2,undergraduate,5,2,2,0.3125,A,Speaker 1 (Janna Levin),expert,"It left it behind in its wake, but the stuff of the star is gone.",15,162,True,8,16,data/wired/wired_astro/wired_astro_14.csv,41,44,19,False
wired::wired_astro_14::turn_6::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,6,1,1,0.375,B,Speaker 4 (college student),partner,"I've heard of Schwarzschild black holes, which is a black hole that is static, a Kerr black hole or a Kerr-Newman black hole, which is a black hole that rotates, but what makes a black hole static versus rotating? And what's more common?",43,43,False,17,18,data/wired/wired_astro/wired_astro_14.csv,42,45,61,False
wired::wired_astro_14::turn_7::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,7,1,1,0.4375,A,Speaker 1 (Janna Levin),expert,"It turns out that there are only three quantities that define a black hole, its electric charge, its mass, and its spin. So the most general black hole can also spin and it can also be electrically charged. Whether or not they are has to do with how they formed. If a star collapses, it will likely be spinning when it collapses and the remnant black hole that forms will likely be spinning. A black hole of a certain mass, charge, and spin is indistinguishable from any other black hole with those same properties. So in some sense, they're like fundamental particles, which makes them absolutely exceptional from any other astrophysical object. Have you heard the stories about what happens inside a black hole?",124,124,False,19,25,data/wired/wired_astro/wired_astro_14.csv,43,46,149,False
wired::wired_astro_14::turn_8::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,8,1,1,0.5,B,Speaker 4 (college student),partner,"I remember that once you pass the event horizon space becomes time and time becomes space, in like, a coordinate sense.",21,21,False,26,26,data/wired/wired_astro/wired_astro_14.csv,44,47,26,False
wired::wired_astro_14::turn_9::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,9,1,1,0.5625,A,Speaker 1 (Janna Levin),expert,"So from the outside, if you're an astronaut, you're watching your friend, another astronaut going into the black hole, it's as though your times become rotated relative to each other. So the profound thing is as an astronaut on the outside, looking at this round event horizon, you think of the center of black hole as a point in space, but to the person who's fallen in, it's not a point in space at all, it's a point in time. The singularity, or the end of it all, the crush in the center of a black hole is in their future. So they can no more avoid the singularity than you can avoid the next instant of time coming. So the death in the singularity is inevitable. Although we don't really think the singularity necessarily exists.",136,136,False,27,32,data/wired/wired_astro/wired_astro_14.csv,45,48,173,False
wired::wired_astro_14::turn_10::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,10,1,1,0.625,B,Speaker 4 (college student),partner,"I sort of know what a singularity is. I think of it as something where everything is compacted into one single point, it's a place where the laws of physics don't exactly work out. What did you mean when you said that you don't think the singularity really exists?",49,49,False,33,35,data/wired/wired_astro/wired_astro_14.csv,46,49,64,False
wired::wired_astro_14::turn_11::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,11,1,1,0.6875,A,Speaker 1 (Janna Levin),expert,"So the singularity is definitely predicted in Einstein's general theory of relativity and that's purely a theory of spacetime. And in the theory of spacetime, there is no question that a singularity would form when the star collapses catastrophically inside the black hole. Now, even when people talked about singularities back in the '60s, they thought, you know, quantum mechanics is part of the story of the whole of physics. It's not just gravity. And if we understand quantum gravity we'll realize that singularity probably doesn't ever actually form.",89,89,False,36,40,data/wired/wired_astro/wired_astro_14.csv,47,50,119,False
wired::wired_astro_14::turn_12::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,12,1,1,0.75,B,Speaker 4 (college student),partner,"So since we obviously have never been to a black hole, how do we know for sure, like, what happens after you cross the event horizon or what happens inside a black hole? Is it just like, inferred from the math?",41,41,False,41,42,data/wired/wired_astro/wired_astro_14.csv,48,51,51,False
wired::wired_astro_14::turn_13::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,13,1,1,0.8125,A,Speaker 1 (Janna Levin),expert,"I would say to some extent we don't know for sure. What we have found is that the mathematics is so unbelievably powerful that we're able to disprove wrong ideas just in pen and paper. Just very recently, within the past couple of years, the first ever human-procured image of a black hole showed us what we expected to see of the event horizon. So Jayda, after our conversation today, what would you say a black hole is?",78,78,False,43,46,data/wired/wired_astro/wired_astro_14.csv,49,52,102,False
wired::wired_astro_14::turn_14::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,14,1,1,0.875,B,Speaker 4 (college student),partner,Something that I had never thought of before is a black hole as kind of a type of quantum fundamental particle. I've also learned how event horizon of a black hole kind of hides a singularity.,36,36,False,47,48,data/wired/wired_astro/wired_astro_14.csv,50,53,43,False
wired::wired_astro_14::turn_15::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,15,1,1,0.9375,A,Speaker 1 (Janna Levin),expert,"The beauty of being a student of something like black holes is you never stop having new impressions of what this enigmatic phenomena is. So in a year, I'll tell you what I learned that's new.",36,36,False,49,50,data/wired/wired_astro/wired_astro_14.csv,51,54,46,False
wired::wired_astro_14::turn_16::segment_01,wired,astro,wired_astro_14,14,2,undergraduate,16,1,1,1.0,B,Speaker 4 (college student),partner,Awesome!,1,1,False,51,51,data/wired/wired_astro/wired_astro_14.csv,52,55,4,False
wired::wired_astro_15::turn_0::segment_01,wired,astro,wired_astro_15,15,3,graduate,0,1,1,0.0,B,Speaker 5 (grad student),partner,I'm Clare.,2,2,False,0,0,data/wired/wired_astro/wired_astro_15.csv,53,56,7,False
wired::wired_astro_15::turn_1::segment_01,wired,astro,wired_astro_15,15,3,graduate,1,1,1,0.03571428571428571,A,Speaker 1 (Janna Levin),expert,And you're in graduate school and you're getting your PhD. What year are you?,14,14,False,1,2,data/wired/wired_astro/wired_astro_15.csv,54,57,22,False
wired::wired_astro_15::turn_2::segment_01,wired,astro,wired_astro_15,15,3,graduate,2,1,1,0.07142857142857142,B,Speaker 5 (grad student),partner,I'm a second year. So I'm measuring star formation histories in the Small and Large Magellanic Clouds.,17,17,False,3,4,data/wired/wired_astro/wired_astro_15.csv,55,58,27,False
wired::wired_astro_15::turn_3::segment_01,wired,astro,wired_astro_15,15,3,graduate,3,1,1,0.10714285714285714,A,Speaker 1 (Janna Levin),expert,Does the Large Magellanic Cloud have a big black hole?,10,10,False,5,5,data/wired/wired_astro/wired_astro_15.csv,56,59,15,False
wired::wired_astro_15::turn_4::segment_01,wired,astro,wired_astro_15,15,3,graduate,4,1,1,0.14285714285714285,B,Speaker 5 (grad student),partner,"So, I think the prevailing wisdom for a while was no, but my answer honestly is I'm not sure.",19,19,False,6,6,data/wired/wired_astro/wired_astro_15.csv,57,60,26,False
wired::wired_astro_15::turn_5::segment_01,wired,astro,wired_astro_15,15,3,graduate,5,1,1,0.17857142857142858,A,Speaker 1 (Janna Levin),expert,"Yeah, and probably nobody is. Have you heard a lot in your studies about these super massive black holes that we think lurk in the centers of very nearly every galaxy?",31,31,False,7,8,data/wired/wired_astro/wired_astro_15.csv,58,61,37,False
wired::wired_astro_15::turn_6::segment_01,wired,astro,wired_astro_15,15,3,graduate,6,1,1,0.21428571428571427,B,Speaker 5 (grad student),partner,"So I don't study AGN a lot, but I do have a long term interest in black holes, it's one of the reasons I entered the field. I always was curious about how a black hole of that size was able to form. Was it the result of mergers between smaller black holes, ultimately creating gravitational well deep enough to contract a protogenic disc for a whole galaxy? Or, man, what happened?",72,72,False,9,12,data/wired/wired_astro/wired_astro_15.csv,59,62,89,False
wired::wired_astro_15::turn_7::segment_01,wired,astro,wired_astro_15,15,3,graduate,7,1,1,0.25,A,Speaker 1 (Janna Levin),expert,"Yeah, I think it's a really good question. The only mechanism that we know for sure can form black holes is to collapse of very massive stars. So it's sensible to think, well maybe some very massive stars in a young universe collapsed under their own weight and then they merged and after some time they got big enough, but the black holes from stars can be tens of times the mass of the sun, maybe hundreds of times to the mass of the sun if they merge. To get to millions and billions, and if you just do the simple arithmetic of how many years that would take, there aren't enough years in the 14 billion years of the universe's lifetime. So they must have come from somewhere else.",130,130,False,13,17,data/wired/wired_astro/wired_astro_15.csv,60,63,151,False
wired::wired_astro_15::turn_8::segment_01,wired,astro,wired_astro_15,15,3,graduate,8,1,1,0.2857142857142857,B,Speaker 5 (grad student),partner,I am at a loss to think of what could have possibly happened in between the start of the universe and the formation of our galaxy that could create such a massive object.,33,33,False,18,18,data/wired/wired_astro/wired_astro_15.csv,61,64,36,False
wired::wired_astro_15::turn_9::segment_01,wired,astro,wired_astro_15,15,3,graduate,9,1,1,0.32142857142857145,A,Speaker 1 (Janna Levin),expert,"Yeah, I think that's right. I think people are really perplexed about how you make something so big in such a short period of time. It's kind of funny, the bigger you make a black hole, it seems maybe counterintuitive, but the less dense the material has to be out of which you make it. So you can, out of something the density almost of air, you can make a supermassive black hole. You can't make a star out of that, but weirdly, if you skip the star phase altogether, it's conceivable that they directly collapse. And so there's suddenly a new way to make black holes that nature has figured out.",112,112,False,19,24,data/wired/wired_astro/wired_astro_15.csv,62,65,150,False
wired::wired_astro_15::turn_10::segment_01,wired,astro,wired_astro_15,15,3,graduate,10,1,1,0.35714285714285715,B,Speaker 5 (grad student),partner,"We spend all of our time, when we learn about black holes in school, predominantly through star collapse. Yeah. I didn't even realize that there was an alternate route to creating a black hole.",34,34,False,25,27,data/wired/wired_astro/wired_astro_15.csv,63,66,43,False
wired::wired_astro_15::turn_11::segment_01,wired,astro,wired_astro_15,15,3,graduate,11,1,1,0.39285714285714285,A,Speaker 1 (Janna Levin),expert,"There might be many alternate routes. It might be in the very early universe that bubbles in unusual phase transitions from very high energy universe to a low energy universe can make black holes. Like, we haven't really thought of the range of possibilities. And so there could also be primordial black holes that are still around that also skipped the star stage altogether that were formed really in the very earliest phases. And I think the interesting thing is, with your looking at like the Large Magellanic Cloud, is to wonder if we're gonna merge.",96,96,False,28,32,data/wired/wired_astro/wired_astro_15.csv,64,67,114,False
wired::wired_astro_15::turn_12::segment_01,wired,astro,wired_astro_15,15,3,graduate,12,1,1,0.42857142857142855,B,Speaker 5 (grad student),partner,"Absolutely. We thought the canonical picture of the Clouds was essentially that they had formed with the Milky Way, maybe in its halo, and had been in a stable orbit for about a Hubble time, or about 14 billion years. Young guns in the field have thrown a wrench in that theory that they've always been orbiting and that perhaps they're on their first orbit, they're on an unstable orbit. Will they join us?",74,74,False,33,36,data/wired/wired_astro/wired_astro_15.csv,65,68,92,False
wired::wired_astro_15::turn_13::segment_01,wired,astro,wired_astro_15,15,3,graduate,13,1,1,0.4642857142857143,A,Speaker 1 (Janna Levin),expert,Can you tell us about Andromeda?,6,6,False,37,37,data/wired/wired_astro/wired_astro_15.csv,66,69,11,False
wired::wired_astro_15::turn_14::segment_01,wired,astro,wired_astro_15,15,3,graduate,14,1,1,0.5,B,Speaker 5 (grad student),partner,Andromeda is part of the big three in the local group.,11,11,False,38,38,data/wired/wired_astro/wired_astro_15.csv,67,70,16,False
wired::wired_astro_15::turn_15::segment_01,wired,astro,wired_astro_15,15,3,graduate,15,1,1,0.5357142857142857,A,Speaker 1 (Janna Levin),expert,"The local group being a group of galaxies that are not expanding with the expansion of the universe away from each other, they're trapped.",24,24,False,39,39,data/wired/wired_astro/wired_astro_15.csv,68,71,30,False
wired::wired_astro_15::turn_16::segment_01,wired,astro,wired_astro_15,15,3,graduate,16,1,1,0.5714285714285714,B,Speaker 5 (grad student),partner,"Gravitationally, all friends.",3,3,False,40,40,data/wired/wired_astro/wired_astro_15.csv,69,72,8,False
wired::wired_astro_15::turn_17::segment_01,wired,astro,wired_astro_15,15,3,graduate,17,1,1,0.6071428571428571,A,Speaker 1 (Janna Levin),expert,"Yes, they're all friends.",4,4,False,41,41,data/wired/wired_astro/wired_astro_15.csv,70,73,10,False
