Sequence,Speaker,Utterance,Notes
38,"Speaker 1 (Aric Prather)","It has kind of evolved in a way that it can still survive and still get all the restoration it needs under such a short period of time.",""
39,"Speaker 2 (Christopher)","And how does it like recharge, like humans?",""
40,"Speaker 1 (Aric Prather)","So we think it works the same way, but maybe just like more efficiently.",""
41,"Speaker 1 (Aric Prather)","And so we're still really learning about how this works.",""
42,"Speaker 1 (Aric Prather)","Sleep science itself is kind of a new field.",""
43,"Speaker 2 (Christopher)","I had a sleepover on Saturday, and I didn't sleep at all.",""
44,"Speaker 1 (Aric Prather)","And how did you feel?",""
45,"Speaker 2 (Christopher)","Really tired.",""
46,"Speaker 1 (Aric Prather)","Really tired.",""
47,"Speaker 1 (Aric Prather)","Do you think you were a little crankier than usual?",""
48,"Speaker 2 (Christopher)","Yeah.",""
49,"Speaker 1 (Aric Prather)","Yeah, that's actually really interesting, because what happens is humans and everything needs to sleep eventually, and so you can't stay up indefinitely, right?",""
50,"Speaker 1 (Aric Prather)","What do you think happens if you don't sleep?",""
51,"Speaker 2 (Christopher)","It affects what you can do in your daily life.",""
52,"Speaker 1 (Aric Prather)","Excellent.",""
53,"Speaker 1 (Aric Prather)","So now I want to tell you about another animal and how they sleep, okay?",""
54,"Speaker 1 (Aric Prather)","So we have this one.",""
55,"Speaker 1 (Aric Prather)","What's that?",""
56,"Speaker 2 (Christopher)","A hippo.",""
57,"Speaker 1 (Aric Prather)","A hippopotamus.",""
58,"Speaker 1 (Aric Prather)","They have a different challenge.",""
59,"Speaker 1 (Aric Prather)","They sleep underwater.",""
60,"Speaker 2 (Christopher)","I could never do that, I would pass out.",""
61,"Speaker 1 (Aric Prather)","Right, right!",""
62,"Speaker 1 (Aric Prather)","So how do they do it?",""
63,"Speaker 1 (Aric Prather)","In the area that they live in, they need to stay cool, right?",""
64,"Speaker 1 (Aric Prather)","And so they spend a lot of time in the water, and so then as a consequence, they need to sleep in the water, but how do they do it?",""
65,"Speaker 1 (Aric Prather)","So it's really fascinating.",""
66,"Speaker 1 (Aric Prather)","What they do is while they're sleeping, they actually float back up to the surface and breathe without waking up.",""
67,"Speaker 1 (Aric Prather)","They're able to go about their whole sleep cycles but still able to breathe, because their body has adapted in a way that they can still get the oxygen that they need.",""
68,"Speaker 1 (Aric Prather)","It's a really amazing thing.",""
69,"Speaker 1 (Aric Prather)","What do you think?",""
70,"Speaker 2 (Christopher)","That's cool.",""
71,"Speaker 1 (Aric Prather)","Would it be cool to have that power?",""
72,"Speaker 2 (Christopher)","Uh yeah.",""
73,"Speaker 1 (Aric Prather)","So now I want to talk about our last animal, and I think this one is probably the most amazing of all.",""
74,"Speaker 1 (Aric Prather)","Okay, so what's this?",""
75,"Speaker 2 (Christopher)","Aww a dolphin.",""
76,"Speaker 1 (Aric Prather)","A dolphin!",""
77,"Speaker 1 (Aric Prather)","Yes.",""
78,"Speaker 1 (Aric Prather)","So dolphins, kind of like hippos, have to sleep in the water, okay?",""
79,"Speaker 1 (Aric Prather)","But because they're mammals, right, they need to breathe.",""
80,"Speaker 1 (Aric Prather)","Dolphins breathe air.",""
81,"Speaker 1 (Aric Prather)","They have to go up to the surface and breathe, right?",""
82,"Speaker 1 (Aric Prather)","And for an animal like that, it needs to figure out a way that it can sleep but also still survive, right?",""
83,"Speaker 1 (Aric Prather)","You know how dolphins sleep?",""
84,"Speaker 2 (Christopher)","How?",""
85,"Speaker 1 (Aric Prather)","One half of their brain at a time.","[Image showing Unihemispheric sleep]"
86,"Speaker 1 (Aric Prather)","So half of their brain goes to sleep, and the other half stays awake, so that they can continue to breathe and swim, and they do it in this four hours a time.",""
87,"Speaker 1 (Aric Prather)","So like their right part of their brain sleeps, they're able to go up to the surface and breathe.",""
88,"Speaker 1 (Aric Prather)","Then their left part of their brain sleeps for four hours, and it goes back and forth, back and forth, so they can kind of maintain alertness, still breathe, and survive.",""
89,"Speaker 1 (Aric Prather)","Is that amazing or what?",""
90,"Speaker 2 (Christopher)","That's cool.",""
91,"Speaker 1 (Aric Prather)","So what'd you learn today?",""
92,"Speaker 2 (Christopher)","I learned how other animals sleep.",""
93,"Speaker 1 (Aric Prather)","What is important about sleeping?",""
94,"Speaker 2 (Christopher)","Sleep rests your body, and you have to rest your body in order to do your daily things in life.",""
